             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
    172.17.5.201|     6|     2016-03-04 15:32:43|     2016-03-04 15:32:43|        60|        60|      3080|
    172.18.0.226|     6|     2016-03-04 15:38:47|     2016-03-04 15:38:47|        48|        82|      3444|
    172.19.8.126|     6|     2016-03-04 15:45:14|     2016-03-04 15:45:14|        32|        39|      1794|
    172.19.8.126|     6|     2016-03-04 15:45:14|     2016-03-04 15:45:14|        41|        51|      2346|
    10.119.17.21|     6|     2016-03-04 15:58:34|     2016-03-04 15:58:34|        37|        54|      2484|
    10.119.17.21|     6|     2016-03-04 15:58:34|     2016-03-04 15:58:34|        66|        98|      4508|
    10.119.17.21|     6|     2016-03-04 15:58:34|     2016-03-04 15:58:34|        80|       135|      8114|
   10.119.38.104|     1|     2016-03-04 15:29:18|     2016-03-04 15:29:25|        40|       133|      8778|
   10.119.38.104|     1|     2016-03-04 15:29:48|     2016-03-04 15:29:55|        34|       131|      8646|
  131.247.70.112|     6|     2016-03-04 15:30:47|     2016-03-04 15:30:47|        32|        32|      1664|
   10.119.38.104|     1|     2016-03-04 15:33:49|     2016-03-04 15:33:54|        36|       115|      7590|
   10.119.38.104|     1|     2016-03-04 15:35:19|     2016-03-04 15:35:25|        36|       148|      9768|
   10.119.38.104|     1|     2016-03-04 15:35:49|     2016-03-04 15:35:54|        33|       103|      6798|
   10.119.38.154|     6|     2016-03-04 15:36:08|     2016-03-04 15:36:08|        37|        73|      3358|
   10.119.38.104|     1|     2016-03-04 15:36:11|     2016-03-04 15:36:16|        32|        97|      6402|
   10.119.38.104|     1|     2016-03-04 15:36:19|     2016-03-04 15:36:25|        33|       112|      7392|
   10.119.38.104|     1|     2016-03-04 15:38:11|     2016-03-04 15:38:16|        39|       118|      7788|
   10.119.38.104|     1|     2016-03-04 15:39:19|     2016-03-04 15:39:24|        35|       105|      6930|
   10.119.38.104|     1|     2016-03-04 15:40:26|     2016-03-04 15:40:31|        32|        96|      6336|
  131.247.70.112|     6|     2016-03-04 15:41:18|     2016-03-04 15:41:18|        33|        33|      1716|
  131.247.70.113|     6|     2016-03-04 15:42:48|     2016-03-04 15:42:48|        33|        33|      1518|
   10.119.38.104|     1|     2016-03-04 15:43:34|     2016-03-04 15:43:39|        33|        99|      6534|
   10.119.38.104|     1|     2016-03-04 15:43:41|     2016-03-04 15:43:46|        47|       141|      9306|
   10.119.38.104|     1|     2016-03-04 15:43:56|     2016-03-04 15:44:01|        40|       120|      7920|
   10.119.38.104|     1|     2016-03-04 15:44:11|     2016-03-04 15:44:16|        34|       113|      7458|
   10.119.38.104|     1|     2016-03-04 15:44:19|     2016-03-04 15:44:25|        34|       106|      6996|
  131.247.70.112|     6|     2016-03-04 15:45:48|     2016-03-04 15:45:48|        33|        33|      1716|
   10.119.38.104|     1|     2016-03-04 15:46:19|     2016-03-04 15:46:24|        34|       112|      7392|
   10.119.38.104|     1|     2016-03-04 15:47:41|     2016-03-04 15:47:46|        34|       102|      6732|
   10.119.38.104|     1|     2016-03-04 15:48:26|     2016-03-04 15:48:31|        33|        99|      6534|
   10.119.38.104|     1|     2016-03-04 15:49:19|     2016-03-04 15:49:26|        32|       118|      7788|
   10.119.38.104|     1|     2016-03-04 15:52:04|     2016-03-04 15:52:09|        32|        96|      6336|
   10.119.38.104|     1|     2016-03-04 15:52:34|     2016-03-04 15:52:39|        34|       105|      6930|
   10.119.38.104|     1|     2016-03-04 15:52:42|     2016-03-04 15:52:47|        34|       102|      6732|
   10.119.38.104|     1|     2016-03-04 15:53:19|     2016-03-04 15:53:24|        32|        96|      6336|
   10.119.38.104|     1|     2016-03-04 15:54:19|     2016-03-04 15:54:26|        37|       122|      8052|
   10.119.38.104|     1|     2016-03-04 15:54:34|     2016-03-04 15:54:39|        34|       102|      6732|
   10.119.38.104|     1|     2016-03-04 15:55:04|     2016-03-04 15:55:11|        34|       106|      6996|
   10.119.38.104|     1|     2016-03-04 15:55:12|     2016-03-04 15:55:17|        49|       147|      9702|
   10.119.38.104|     1|     2016-03-04 15:56:19|     2016-03-04 15:56:24|        35|       105|      6930|
   10.119.38.104|     1|     2016-03-04 15:57:19|     2016-03-04 15:57:24|        33|       108|      7128|
   10.119.38.104|     1|     2016-03-04 15:58:42|     2016-03-04 15:58:47|        36|       108|      7128|
   10.119.38.104|     1|     2016-03-04 15:59:19|     2016-03-04 15:59:26|        34|       105|      6930|
   131.247.67.45|     6|     2016-03-04 16:00:00|     2016-03-04 16:00:08|        38|      1921|   1892278|
   131.247.67.45|     6|     2016-03-04 16:00:40|     2016-03-04 16:00:48|        42|       573|    343107|
   131.247.67.45|     6|     2016-03-04 16:00:49|     2016-03-04 16:00:57|        71|       601|    122077|
   131.247.67.45|     6|     2016-03-04 16:01:04|     2016-03-04 16:01:13|        51|       540|     70498|
   131.247.67.45|     6|     2016-03-04 16:01:22|     2016-03-04 16:01:27|        59|       941|    648574|
   131.247.67.45|     6|     2016-03-04 16:01:28|     2016-03-04 16:01:36|        36|       747|    438268|
   131.247.67.45|     6|     2016-03-04 16:01:36|     2016-03-04 16:01:45|       156|      1497|    188768|
   131.247.67.45|     6|     2016-03-04 16:01:44|     2016-03-04 16:01:52|        43|       921|    789592|
   131.247.67.45|     6|     2016-03-04 16:01:45|     2016-03-04 16:01:52|        49|       853|    570469|
   131.247.67.45|     6|     2016-03-04 16:01:52|     2016-03-04 16:02:01|        76|       796|     97372|
   131.247.67.45|     6|     2016-03-04 16:01:52|     2016-03-04 16:02:00|        61|       783|    216918|
   131.247.67.45|     6|     2016-03-04 16:01:53|     2016-03-04 16:01:59|        51|       474|     57248|
   131.247.67.45|     6|     2016-03-04 16:02:01|     2016-03-04 16:02:09|        39|       875|    716397|
   131.247.67.45|     6|     2016-03-04 16:02:00|     2016-03-04 16:02:09|        48|       612|    236946|
   131.247.67.45|     6|     2016-03-04 16:02:09|     2016-03-04 16:02:17|        55|       686|    362074|
   131.247.67.45|     6|     2016-03-04 16:02:08|     2016-03-04 16:02:17|        62|       644|    209057|
   131.247.67.45|     6|     2016-03-04 16:02:16|     2016-03-04 16:02:24|       127|      1872|    668050|
   131.247.67.45|     6|     2016-03-04 16:02:24|     2016-03-04 16:02:30|        37|       513|    132250|
   131.247.67.45|     6|     2016-03-04 16:02:25|     2016-03-04 16:02:33|        43|       440|     46965|
   131.247.67.45|     6|     2016-03-04 16:02:32|     2016-03-04 16:02:41|        41|       329|     41403|
   131.247.67.45|     6|     2016-03-04 16:02:41|     2016-03-04 16:02:49|        37|       358|     47332|
   131.247.67.45|     6|     2016-03-04 16:02:48|     2016-03-04 16:02:57|        84|      1058|    454452|
   131.247.67.45|     6|     2016-03-04 16:02:56|     2016-03-04 16:03:05|        53|       808|    141352|
   131.247.67.45|     6|     2016-03-04 16:03:05|     2016-03-04 16:03:13|        55|       541|     65251|
   131.247.67.45|     6|     2016-03-04 16:03:12|     2016-03-04 16:03:21|        35|       392|     35830|
